accessory,accessory,accessory
apple,apples,apples
appliance,appliance,appliance
appliances,appliance,appliance
home appliances,home appliances,appliance
auto parts,auto parts,auto parts
motorbike parts,motorbike parts,auto parts
spare parts,spare parts,auto parts
bags,bags,bags
bicycle,bicycle,bicycle
bike,bike,bike
motobike,bike,bike
motorbike,bike,bike
motorcycle,bike,bike
broccoli,broccoli,broccoli
brokkoli,broccoli,broccoli
bus,bus,bus
cabbage,cabbage,cabbage
car,car,car
cars,car,car
electric car,electric car,car
carrot,carrot,carrot
celery,celery,celery
collagen mask,collagen mask,collagen mask
cookies and candy,cookies and candy,cookies and candy
cucumber,cucumber,cucumber
curtains,curtains,curtains
disc,disc,disc
aubergines,eggplant,eggplant
egg plant,eggplant,eggplant
electronics,electronics,electronics
synthetic polymer cap,synthetic polymer cap,electronics
equipment,equipment,equipment
equpment,equipment,equipment
bed linen,bed linen,fabrics
clothes,clothes,fabrics
clouthes,clothes,fabrics
fabrics,fabrics,fabrics
shorts,shorts,fabrics
textile,textile,fabrics
textiles,textile,fabrics
finished products,finished products,finished products
fittings,fittings,fittings
food material,food material,food material
intestinal raw materials,intestinal raw materials,food material
garlic,garlic,garlic
genus pimenta,genus pimenta,genus pimenta
ginger,ginger,ginger
glasses,glasses,glasses
glue,glue,glue
grape,grape,grape
grapes,grape,grape
air freshener,air freshener,household
household,household,household
household equipment,household equipment,household
household goods,household goods,household
tablecloth,tablecloth,household
tableware,tableware,household
hydro scooter,hydro scooter,hydro scooter
jalousie,jalousie,jalousie
kiwi,kiwi,kiwi
label,label,label
lamps,lamps,lamps
leek,leek,leek
lemon,lemon,lemon
lettuce,lettuce,lettuce
machine,machine,machine
mandarin,mandarin,mandarin
mango,mango,mango
meat,meat,meat
medical gloves,medical gloves,medical gloves
medications,medications,medications
narrow ribbons,narrow ribbons,narrow ribbons
nectarin,nectarine,nectarine
nectarine,nectarine,nectarine
box,box,office supplies
office supplies,office supplies,office supplies
packages,packages,office supplies
stationery,stationery,office supplies
pampers,pampers,pampers
peach,peach,peach
pear,pear,pear
pears,pear,pear
pepper,pepper,pepper
persimmon,persimmon,persimmon
pineapple,pineapple,pineapple
pomelo,pomelo,pomelo
scateboard,scateboard,scateboard
scooter,scooter,scooter
scooters,scooter,scooter
styles for shoes,shoe styles,shoe styles
shoes,shoes,shoes
parts of shoes,shoes parts,shoes
parts shoes,shoes parts,shoes
ball,ball,sporting goods
sporting goods,sporting goods,sporting goods
squash,squash,sporting goods
armchair,armchair,stool
stool,stool,stool
tape,tape,tape
tea,tea,tea
threads,threads,threads
yarn,yarn,threads
agriculturaltires,agricultural tire,tire
tires,tires,tire
tomates,tomato,tomato
tomato,tomato,tomato
tool,tools,tools
tools,tools,tools
toys,toys,toys
cataloga,cataloga,<NA>
dummy,<NA>,<NA>
unknown,<NA>,<NA>
<NA>,<NA>,<NA>
washing powder,washing powder,washing powder
car wheels,wheels,wheels
carweels,wheels,wheels
carwheels,wheels,wheels
wheels,wheels,wheels